Status,Values,IUCN_year,Taxon
NE,1,I2010,Afrosoricida
DD,1,I2010,Afrosoricida
LC,23,I2010,Afrosoricida
NT,0,I2010,Afrosoricida
VU,4,I2010,Afrosoricida
EN,2,I2010,Afrosoricida
CR,0,I2010,Afrosoricida
EX,3,I2010,Afrosoricida
NE,15,I2010,Chiroptera
DD,4,I2010,Chiroptera
LC,20,I2010,Chiroptera
NT,2,I2010,Chiroptera
VU,3,I2010,Chiroptera
EN,0,I2010,Chiroptera
CR,0,I2010,Chiroptera
EX,2,I2010,Chiroptera
NE,19,I2010,Lemurs
DD,40,I2010,Lemurs
LC,8,I2010,Lemurs
NT,5,I2010,Lemurs
VU,14,I2010,Lemurs
EN,17,I2010,Lemurs
CR,6,I2010,Lemurs
EX,17,I2010,Lemurs
NE,0,I2010,Eupleridae
DD,0,I2010,Eupleridae
LC,1,I2010,Eupleridae
NT,3,I2010,Eupleridae
VU,3,I2010,Eupleridae
EN,0,I2010,Eupleridae
CR,0,I2010,Eupleridae
EX,2,I2010,Eupleridae
NE,2,I2010,Nesomyinae
DD,4,I2010,Nesomyinae
LC,15,I2010,Nesomyinae
NT,0,I2010,Nesomyinae
VU,1,I2010,Nesomyinae
EN,6,I2010,Nesomyinae
CR,0,I2010,Nesomyinae
EX,3,I2010,Nesomyinae
NE,1,I2015,Afrosoricida
DD,1,I2015,Afrosoricida
LC,23,I2015,Afrosoricida
NT,0,I2015,Afrosoricida
VU,4,I2015,Afrosoricida
EN,2,I2015,Afrosoricida
CR,0,I2015,Afrosoricida
EX,3,I2015,Afrosoricida
NE,11,I2015,Chiroptera
DD,4,I2015,Chiroptera
LC,23,I2015,Chiroptera
NT,2,I2015,Chiroptera
VU,3,I2015,Chiroptera
EN,1,I2015,Chiroptera
CR,0,I2015,Chiroptera
EX,2,I2015,Chiroptera
NE,10,I2015,Lemurs
DD,3,I2015,Lemurs
LC,3,I2015,Lemurs
NT,3,I2015,Lemurs
VU,20,I2015,Lemurs
EN,48,I2015,Lemurs
CR,22,I2015,Lemurs
EX,17,I2015,Lemurs
NE,0,I2015,Eupleridae
DD,0,I2015,Eupleridae
LC,1,I2015,Eupleridae
NT,3,I2015,Eupleridae
VU,2,I2015,Eupleridae
EN,1,I2015,Eupleridae
CR,0,I2015,Eupleridae
EX,2,I2015,Eupleridae
NE,2,I2015,Nesomyinae
DD,4,I2015,Nesomyinae
LC,15,I2015,Nesomyinae
NT,0,I2015,Nesomyinae
VU,1,I2015,Nesomyinae
EN,6,I2015,Nesomyinae
CR,0,I2015,Nesomyinae
EX,3,I2015,Nesomyinae
NE,0,I2021,Afrosoricida
DD,1,I2021,Afrosoricida
LC,24,I2021,Afrosoricida
NT,0,I2021,Afrosoricida
VU,4,I2021,Afrosoricida
EN,2,I2021,Afrosoricida
CR,0,I2021,Afrosoricida
EX,3,I2021,Afrosoricida
NE,2,I2021,Chiroptera
DD,8,I2021,Chiroptera
LC,28,I2021,Chiroptera
NT,1,I2021,Chiroptera
VU,5,I2021,Chiroptera
EN,0,I2021,Chiroptera
CR,0,I2021,Chiroptera
EX,2,I2021,Chiroptera
NE,1,I2021,Lemurs
DD,2,I2021,Lemurs
LC,2,I2021,Lemurs
NT,0,I2021,Lemurs
VU,25,I2021,Lemurs
EN,46,I2021,Lemurs
CR,33,I2021,Lemurs
EX,17,I2021,Lemurs
NE,0,I2021,Eupleridae
DD,0,I2021,Eupleridae
LC,1,I2021,Eupleridae
NT,0,I2021,Eupleridae
VU,5,I2021,Eupleridae
EN,1,I2021,Eupleridae
CR,0,I2021,Eupleridae
EX,2,I2021,Eupleridae
NE,1,I2021,Nesomyinae
DD,3,I2021,Nesomyinae
LC,17,I2021,Nesomyinae
NT,0,I2021,Nesomyinae
VU,1,I2021,Nesomyinae
EN,6,I2021,Nesomyinae
CR,0,I2021,Nesomyinae
EX,3,I2021,Nesomyinae